"","id_id","litter_dry","plot_indicator","range_class","range_score"
"338","maz_java_GA1",28.48,"C5","Fair",63.2
"339","maz_java_GA1",34.42,"C6","Good",70.3
"340","maz_java_GA1",29.67,"C7","Fair",51.5
"341","maz_java_GA1",47.47,"C8","Excellent",83
"342","maz_java_GA1",36.2,"D1","Fair",57.7
"343","maz_java_GA1",51.62,"D2","Excellent",91.6
"344","maz_java_GA1",32.64,"D3","Excellent",82.7
"345","maz_java_GA1",38.57,"D4","Excellent",84.3
"346","maz_java_GA1",28.48,"D5","Fair",68.5
"347","maz_java_GA1",32.04,"D6","Fair",55.3
"348","maz_java_GA1",32.64,"D7","Good",73.7
"349","maz_java_GA1",33.82,"D8","Good",78.6
"350","maz_java_GA1",35.01,"E1","Fair",66.2
"351","maz_java_GA1",36.2,"E2","Excellent",88.3
"352","maz_java_GA1",38.57,"E3","Excellent",82
"353","maz_java_GA1",29.67,"E4","Good",75
"354","maz_java_GA1",40.94,"E5","Good",77.9
"355","maz_java_GA1",31.45,"E6","Fair",62.1
"356","maz_java_GA1",30.26,"E7","Fair",61.4
"357","maz_java_GA1",37.38,"E8","Fair",68.9
"358","maz_java_GA1",39.16,"F1","Good",79.4
"359","maz_java_GA1",35.6,"F2","Good",70.6
"360","maz_java_GA1",28.48,"F3","Excellent",84.74
"361","maz_java_GA1",34.42,"F4","Good",79.2
"362","maz_java_GA1",29.67,"F5","Fair",60.2
"363","maz_java_GA1",34.42,"F6","Fair",66.7
"364","maz_java_GA1",38.57,"F7","Good",78.5
"365","maz_java_GA1",41.54,"F8","Good",78.8
"366","maz_java_GA1",33.23,"G1","Excellent",80.3
"367","maz_java_GA1",49.25,"G2","Excellent",82.9
"368","maz_java_GA1",30.26,"G3","Excellent",85.2
"369","maz_java_GA1",32.04,"G4","Good",75
"370","maz_java_GA1",31.45,"G5","Fair",51.6
"371","maz_java_GA1",45.1,"G6","Good",77.5
"372","maz_java_GA1",36.79,"G7","Good",77.1
"373","maz_java_GA1",36.79,"G8","Good",69.8
"374","maz_java_GA1",52.22,"H1","Excellent",83.4
"375","maz_java_GA1",29.08,"H2","Good",76.6
"376","maz_java_GA1",30.86,"H3","Excellent",80.5
"377","maz_java_GA1",34.42,"H4","Good",77
"378","maz_java_GA1",33.23,"H5","Good",72.1
"379","maz_java_GA1",46.88,"H6","Excellent",83.5
"380","maz_java_GA1",28.48,"H7","Fair",66.9
"381","maz_java_GA1",40.35,"H8","Good",69.9
"382","maz_java_GA2",28.557,"A1","Good",75.9
"383","maz_java_GA2",26.177,"A2","Fair",64.5
"384","maz_java_GA2",42.836,"A3","Good",71.3
"385","maz_java_GA2",34.507,"A4","Fair",68.1
"386","maz_java_GA2",38.076,"A5","Fair",66.8
"387","maz_java_GA2",35.101,"A6","Fair",69
